Country,Annual GDP Growth,Date
Rwanda,12.2,6/19/2019
Oman,12,12/18/2019
Libya,10.9,12/18/2019
Ethiopia,9.2,12/18/2019
Bangladesh,7.9,12/18/2019
Maldives,7.6,12/18/2019
Cambodia,7.5,12/18/2019
Ivory Coast,7.4,6/19/2019
Vietnam,7.31,9/19/2019
Mongolia,7.3,6/19/2019
Afghanistan,7.2,12/17/2019
Benin,7.2,6/19/2019
Tajikistan,7.2,9/19/2019
Nepal,7.1,12/18/2019
Myanmar,6.8,12/18/2019
Brunei,6.7,6/19/2019
Seychelles,6.7,6/19/2019
Tanzania,6.6,3/19/2019
Armenia,6.5,6/19/2019
Gambia,6.5,12/18/2019
Laos,6.5,12/18/2019
Kyrgyzstan,6.4,6/19/2019
Niger,6.4,6/19/2019
Cape Verde,6.2,6/19/2019
Turkmenistan,6.2,6/19/2019
Burkina Faso,6.1,6/19/2019
China,6,9/19/2019
Congo,5.82,12/18/2019
Guinea,5.8,12/18/2019
Ireland,5.8,6/19/2019
Moldova,5.8,6/19/2019
Uzbekistan,5.8,6/19/2019
Ghana,5.7,6/19/2019
Djibouti,5.6,12/18/2019
Egypt,5.6,9/19/2019
Kenya,5.6,6/19/2019
Philippines,5.5,6/19/2019
Senegal,5.5,6/19/2019
Uganda,5.4,6/19/2019
Pakistan,5.2,12/18/2019
Guinea Bissau,5.1,6/19/2019
Indonesia,5.05,6/19/2019
India,5,6/19/2019
Madagascar,5,12/18/2019
Togo,5,6/19/2019
Hungary,4.9,6/19/2019
Malaysia,4.9,6/19/2019
Mali,4.9,6/19/2019
Bhutan,4.6,12/18/2019
Ukraine,4.6,6/19/2019
Georgia,4.5,6/19/2019
Poland,4.5,6/19/2019
Romania,4.4,6/19/2019
Central African Republic,4.3,12/18/2019
Cameroon,4.2,3/19/2019
Eritrea,4.2,12/18/2019
Fiji,4.2,12/18/2019
Guyana,4.1,12/18/2019
Kazakhstan,4.1,6/19/2019
Kosovo,4.1,6/19/2019
Sao Tome and Principe,4.1,12/18/2019
Sudan,4.1,12/18/2019
Malta,4,6/19/2019
Zimbabwe,4,12/18/2019
Burundi,3.8,12/18/2019
Liechtenstein,3.8,12/17/2019
Dominican Republic,3.7,6/19/2019
Luxembourg,3.7,6/19/2019
Malawi,3.7,12/18/2019
Zambia,3.7,12/18/2019
Estonia,3.6,6/19/2019
Lithuania,3.6,9/19/2019
Mauritania,3.6,12/18/2019
Bulgaria,3.5,6/19/2019
Sierra Leone,3.5,12/18/2019
Guatemala,3.45,6/19/2019
Mauritius,3.4,6/19/2019
Cayman Islands,3.3,12/18/2019
Bolivia,3.27,12/18/2019
Cyprus,3.2,6/19/2019
Israel,3.2,6/19/2019
Montenegro,3.2,6/19/2019
Botswana,3.1,6/19/2019
Liberia,3.1,12/18/2019
Macedonia,3.1,6/19/2019
Colombia,3,6/19/2019
Taiwan,2.91,9/19/2019
Panama,2.9,6/19/2019
Serbia,2.9,6/19/2019
Somalia,2.9,12/18/2019
Comoros,2.8,12/18/2019
Latvia,2.8,9/19/2019
Czech Republic,2.7,6/19/2019
Iceland,2.7,6/19/2019
Bosnia and Herzegovina,2.6,6/19/2019
Denmark,2.6,6/19/2019
Kuwait,2.6,3/19/2019
Morocco,2.5,6/19/2019
Palestine,2.5,6/19/2019
Slovenia,2.5,6/19/2019
