Country,Annual.GDP.Growth,Date,Last_inflation,Operating Region,Scope,Previous growth
Albania,2.31,6/19/2019,1.3,Europe,Include,1.3
Algeria,1.5,3/19/2019,1.8,Africa,Include,1.8
Angola,-0.1,6/19/2019,16.08,Africa,Include,16.08
Argentina,0.6,6/19/2019,53.5,America,Include,53.5
Armenia,6.5,6/19/2019,0.5,Asia,Include,0.5
Australia,1.4,6/19/2019,1.7,Australia,Include,1.7
Austria,1.5,9/19/2019,1.2,Europe,Include,1.2
Azerbaijan,2.4,6/19/2019,2.6,Asia,Include,2.6
Bahamas,1.6,12/18/2019,2.9,America,Include,2.9
Bahrain,0.84,6/19/2019,1.2,Asia,Include,1.2
Bangladesh,7.9,12/18/2019,5.54,Asia,Include,5.54
Barbados,-0.6,12/18/2019,3.2,America,Include,3.2
Belgium,1.6,9/19/2019,0.48,Europe,Include,0.48
Belize,-0.8,6/19/2019,-0.7,America,Include,-0.7
Benin,7.2,6/19/2019,-1.7,Africa,Include,-1.7
Bhutan,4.6,12/18/2019,3.9,Asia,Include,3.9
Bolivia,3.27,12/18/2019,2.25,America,Include,2.25
Bosnia and Herzegovina,2.6,6/19/2019,0.3,Europe,Include,0.3
Botswana,3.1,6/19/2019,3,Africa,Include,3
Brazil,1,6/19/2019,2.89,America,Include,2.89
Brunei,6.7,6/19/2019,-0.8,Asia,Include,-0.8
Bulgaria,3.5,6/19/2019,2.3,Europe,Include,2.3
Burkina Faso,6.1,6/19/2019,-5.4,Africa,Include,-5.4
Burundi,3.8,12/18/2019,2,Africa,Include,2
Cambodia,7.5,12/18/2019,2.17,Asia,Include,2.17
Canada,1.6,6/19/2019,1.9,America,Include,1.9
Cape Verde,6.2,6/19/2019,0.7,Africa,Include,0.7
Central African Republic,4.3,12/18/2019,3,Africa,Include,3
Chad,1.5,12/18/2019,-2.1,Africa,Include,-2.1
Chile,1.9,6/19/2019,2.1,America,Include,2.1
China,6,9/19/2019,3,Asia,Include,3
Colombia,3,6/19/2019,3.82,America,Include,3.82
Comoros,2.8,12/18/2019,1.7,Africa,Include,1.7
Congo,5.82,12/18/2019,3.8,Africa,Include,3.8
Costa Rica,1.4,6/19/2019,2.53,America,Include,2.53
Croatia,2.4,6/19/2019,0.8,Europe,Include,0.8
Cuba,2.2,12/18/2019,5.9,America,Include,5.9
Cyprus,3.2,6/19/2019,-0.9,Europe,Include,-0.9
Czech Republic,2.7,6/19/2019,2.7,Europe,Include,2.7
Denmark,2.6,6/19/2019,0.5,Europe,Include,0.5
Dominican Republic,3.7,6/19/2019,2.02,America,Include,2.02
Ecuador,0.3,6/19/2019,-0.07,America,Include,-0.07
Egypt,5.6,9/19/2019,4.8,Africa,Include,4.8
El Salvador,1.8,6/19/2019,-0.68,America,Include,-0.68
Equatorial Guinea,-7.9,12/18/2019,1.3,Africa,Include,1.3
Estonia,3.6,6/19/2019,2.2,Europe,Include,2.2
Euro Area,1.1,9/19/2019,0.7,Europe,Include,0.7
European Union,1.4,9/19/2019,1.2,Europe,Include,1.2
Fiji,4.2,12/18/2019,0.4,Australia,Include,0.4
Finland,1.2,6/19/2019,0.9,Europe,Include,0.9
France,1.3,9/19/2019,0.7,Europe,Include,0.7
Gabon,2,12/18/2019,1,Africa,Include,1
Gambia,6.5,12/18/2019,7.65,Africa,Include,7.65
Georgia,4.5,6/19/2019,6.4,Asia,Include,6.4
Germany,0.4,6/19/2019,1.1,Europe,Include,1.1
Greece,1.9,6/19/2019,-0.1,Europe,Include,-0.1
Guatemala,3.45,6/19/2019,3.01,America,Include,3.01
Guinea,5.8,12/18/2019,9.4,Africa,Include,9.4
Guinea Bissau,5.1,6/19/2019,-0.3,Africa,Include,-0.3
Guyana,4.1,12/18/2019,2.2,America,Include,2.2
Haiti,1.5,12/18/2019,19.1,America,Include,19.1
Honduras,1.9,6/19/2019,4.42,America,Include,4.42
Hong Kong,-2.9,9/19/2019,3.2,Asia,Include,3.2
Hungary,4.9,6/19/2019,2.8,Europe,Include,2.8
Iceland,2.7,6/19/2019,2.8,Europe,Include,2.8
India,5,6/19/2019,3.99,Asia,Include,3.99
Indonesia,5.05,6/19/2019,3.13,Asia,Include,3.13
Iran,1.8,6/18/2019,35,Asia,Include,35
Iraq,-1,12/18/2019,-0.3,Asia,Include,-0.3
Ireland,5.8,6/19/2019,0.9,Europe,Include,0.9
Israel,3.2,6/19/2019,0.3,Asia,Include,0.3
Italy,0.3,9/19/2019,0.3,Europe,Include,0.3
Ivory Coast,7.4,6/19/2019,0.5,Africa,Include,0.5
Jamaica,1.3,6/19/2019,3.4,America,Include,3.4
Japan,1,6/19/2019,0.2,Asia,Include,0.2
Jordan,1.8,6/19/2019,-0.3,Asia,Include,-0.3
Kazakhstan,4.1,6/19/2019,5.3,Asia,Include,5.3
Kenya,5.6,6/19/2019,4.95,Africa,Include,4.95
Kuwait,2.6,3/19/2019,1.7,Asia,Include,1.7
Kyrgyzstan,6.4,6/19/2019,2.3,Asia,Include,2.3
Laos,6.5,12/18/2019,3.34,Asia,Include,3.34
Latvia,2.8,9/19/2019,2.6,Europe,Include,2.6
Lebanon,1,12/18/2019,1.22,Asia,Include,1.22
Lesotho,1.2,12/18/2019,5.2,Africa,Include,5.2
Liberia,3.1,12/18/2019,29.9,Africa,Include,29.9
Lithuania,3.6,9/19/2019,2.2,Europe,Include,2.2
Luxembourg,3.7,6/19/2019,1.3,Europe,Include,1.3
Macau,-1.8,6/19/2019,2.73,Asia,Include,2.73
Madagascar,5,12/18/2019,5.5,Africa,Include,5.5
Malawi,3.7,12/18/2019,9.2,Africa,Include,9.2
